scenario,method,seed,phase,slot_start,slot_end,mean_selected_H,median_selected_H,mean_selected_lambda,design_reserve,execution_settlement,assigned,tasks,coverage
stationary,PASI,13,Early,1,100,0.8348323099170342,0.9315529217357248,0.8974322135935453,3842.888494718647,3842.888494718647,6827,8000,0.853375
stationary,PASI,13,Middle,301,500,0.9739123873692005,0.9844538088490405,0.8874069007985341,7489.767048391235,7489.767048391235,13529,16000,0.8455625
stationary,PASI,13,Late,701,1000,0.9745442931876757,0.983570421390151,0.881917567050155,11181.555506511255,11181.555506511255,20331,24000,0.847125
stationary,MOI,14,Early,1,100,0.836162221019231,0.9322892584013668,1.0360379715065913,4553.808247160096,4556.32949671845,6711,8000,0.838875
stationary,MOI,14,Middle,301,500,0.9732513680706945,0.9811792820872686,1.0250227604864477,9026.77443978325,9032.385003239087,13494,16000,0.843375
stationary,MOI,14,Late,701,1000,0.9744712883617643,0.9824843358010789,1.040968964588589,13819.0166610917,13827.682109152478,20180,24000,0.8408333333333333
stationary,PASI,15,Early,1,100,0.8334153749429466,0.9337094598065501,0.8820814496279246,3721.8929685453695,3721.8929685453695,6746,8000,0.84325
stationary,PASI,15,Middle,301,500,0.973001252440166,0.9841182064835128,0.8844900339029863,7531.934903098887,7531.934903098887,13505,16000,0.8440625
stationary,PASI,15,Late,701,1000,0.9734294413154204,0.9842484306938418,0.8691990743705033,10990.894693279668,10990.894693279668,20318,24000,0.8465833333333334
stationary,MOI,16,Early,1,100,0.8480831343104421,0.9441490861208313,0.95378274389245,4105.506451553437,4107.239429954333,6792,8000,0.849
stationary,MOI,16,Middle,301,500,0.9761099283872845,0.9826698257484827,0.9488315651448456,8241.856765606837,8245.55444285377,13650,16000,0.853125
stationary,MOI,16,Late,701,1000,0.9775665140248255,0.9831468631449096,0.9520504211208353,12209.882458223718,12215.574727378387,20266,24000,0.8444166666666667
stationary,PASI,14,Early,1,100,0.8368050848645133,0.9325614442704685,0.9480515945515882,4064.812707505957,4064.812707505957,6711,8000,0.838875
stationary,PASI,14,Middle,301,500,0.9730573465884701,0.9830678101874011,0.9227428353703054,7905.747117395436,7905.747117395436,13494,16000,0.843375
stationary,PASI,14,Late,701,1000,0.9742422922999323,0.9831177018832427,0.939241154377038,12143.046273059272,12143.046273059272,20180,24000,0.8408333333333333
stationary,MOI,15,Early,1,100,0.8337802320223004,0.9321026298466274,0.9733614432858901,4222.728162298727,4224.532535552324,6746,8000,0.84325
stationary,MOI,15,Middle,301,500,0.973510502880073,0.9806932700719285,0.988158359983459,8691.871006497753,8696.061488381642,13505,16000,0.8440625
stationary,MOI,15,Late,701,1000,0.9743069237823314,0.9811596044934633,0.9735950981280548,12733.993932703925,12740.344157039475,20318,24000,0.8465833333333334
stationary,PASI,16,Early,1,100,0.8476473264849177,0.9433461713653184,0.852829735298211,3551.24101881299,3551.24101881299,6792,8000,0.849
stationary,PASI,16,Middle,301,500,0.9766402909704787,0.9839834791850061,0.8342945428913447,6983.636825507792,6983.636825507792,13650,16000,0.853125
stationary,PASI,16,Late,701,1000,0.9779575565400211,0.9838876190032286,0.8359682902723751,10317.508890547706,10317.508890547706,20266,24000,0.8444166666666667
stationary,MOI,17,Early,1,100,0.8307940725777772,0.9308882981596822,1.0109088201307557,4532.818839624695,4534.763324193929,6776,8000,0.847
stationary,MOI,17,Middle,301,500,0.9743179672529461,0.9815813567392015,1.0068682161736533,9061.506446961383,9066.345522498752,13580,16000,0.84875
stationary,MOI,17,Late,701,1000,0.9755287337414625,0.9816814910702896,1.0145104839308237,13724.509614926528,13731.697985765168,20338,24000,0.8474166666666667
stationary,PASI,18,Early,1,100,0.8305647206596604,0.9288374330690452,0.9188551417551795,4044.5626442622383,4044.5626442622383,6748,8000,0.8435
stationary,PASI,18,Middle,301,500,0.9762873952116382,0.9825860488419585,0.895947698317573,7917.541962429992,7917.541962429992,13563,16000,0.8476875
